timestep,remainder
0,-0.48118374540362296
1,-0.9658896277613636
2,0.33411037224050055
3,-0.17647786305202828
4,1.8823456663592122
5,4.942345666357559
6,6.744698607534998
7,6.122345666356544
8,1.7176397840049518
9,0.41763978400415525
10,5.068228019299582
11,-0.6235366865823178
12,-0.849419039535265
13,-1.5882425689361561
14,-0.7635366865827535
15,-0.8717719807004176
16,-1.9482425689355338
17,-1.3117719806984294
18,1.5258750781228319
19,0.06469860753393242
20,0.3635221369465427
21,-3.3882425689438165
22,-7.689419039529504
23,-5.8647131571604545
24,-5.142360215988738
25,-5.509419039525109
26,-4.93412492187031
27,-4.836477863053559
28,-3.527066098357846
29,-4.717654333643876
30,-1.5011837454085608
31,-1.201183745416877
32,-1.022360215997649
33,-1.1482425689369542
34,1.6082280193088057
35,0.7188162545928982
36,-1.0183265159511823
37,-0.8076122302368969
38,-0.4016598492844974
39,1.7792925316678563
40,-0.2885646111892761
41,1.7328639602392837
42,1.9888163411916828
43,2.000721103096442
44,-0.589755087379757
45,-2.112374134998799
46,-2.080231277855942
47,-1.457612230236908
48,-0.6183265159511837
49,0.7542925316678755
50,-2.652850325475004
51,-3.142136039760704
52,-3.2242788969035967
53,-1.836183658808336
54,-0.21356461118929104
55,-1.7254693730940414
56,-1.3695169921416444
57,-1.9338027064273664
58,-2.718326515951178
59,-1.3873741349988045
60,0.21857824595359077
61,1.7923877697630939
62,-0.6588027064273625
63,-0.058802706427384166
64,0.3054830078583439
65,0.9911972935726165
66,1.1364353888107033
67,0.28048300785833646
68,1.9007211030964655
69,1.2769115792869563
70,0.6792925316678708
71,1.9566734840488245
72,0.24357824595359645
73,-0.32665984928451763
74,0.9721496745250136
75,-0.10880270642737777
76,-0.49451699214162304
77,-1.783802706427398
78,-1.232612230236903
79,-2.7683265159511876
80,-1.9361836588083303
81,-1.8683265159511748
82,-1.3861836588083207
83,-0.32665984928452474
84,-0.5980884207130934
85,-1.2909455635702454
86,-1.6838027064273753
87,-1.602850325474984
88,-1.6338027064273817
89,-2.4945169921416497
90,-3.10404080166548
91,-1.7326122302368976
92,-1.4957074683321459
93,-0.5480884207131069
94,-0.8147550873797638
95,-0.4159455635702365
96,1.047149674525011
97,-2.5504693730940353
98,-0.23142175404644227
99,1.7995306269059625
100,-1.1076122302368994
101,-0.96832651595121
102,-0.6861836588083303
103,1.1007211030964434
104,-2.087374134998777
105,-2.5552312778559187
106,-0.6778503254749779
107,0.7495306269059547
108,-0.9849931826178562
109,0.36024491262026714
110,-0.4540408016654567
111,0.17334015071549302
112,-0.029040801665484395
113,-2.8266598492845
114,0.035244912620228774
115,1.0054830078583379
116,2.7197687221440603
117,2.0257211030964406
118,-1.867136039760716
119,-1.1754693730940602
120,-1.2552312778559376
121,-2.568326515951192
122,-1.7421360397606982
123,2.7709591983345447
124,-2.204040801665478
125,-2.596897944522599
126,-0.5599931826178484
127,-1.0588027064273824
128,-0.14451699214162872
129,-0.9183265159511755
130,-1.184993182617852
131,-0.6849931826178377
132,0.723340150715476
133,-0.09927889690355585
134,0.4983401507154852
135,0.16262586500118204
136,2.236435388810719
137,1.191197293572639
138,0.322149674525015
139,-1.4457074683321274
140,-3.1516598492845205
141,-3.0980884207130686
142,-2.988564611189286
143,-0.6588027064273767
144,-0.3361836588083129
145,-0.11475508737974494
146,-0.5445169921416486
147,1.1578639602392862
148,-0.037374134998803044
149,-0.4492788969035679
150,-0.3183265159511919
151,0.7745306269059746
152,0.9781020554774003
153,1.399530626905971
154,1.3173877697631298
155,1.4340544364297507
156,-0.5099931826178548
157,1.7697687221440717
158,3.965006817382161
159,-1.692136039760694
160,-2.399278896903567
161,-1.2683265159511734
162,0.7769115792869101
163,-1.5980884207130792
164,-0.9088027064273732
165,0.12810205547735265
166,-0.4183265159511613
167,-1.080231277855944
168,-0.7754693730940225
169,-0.27427889690352814
170,-0.41713603976070956
171,-0.4111836588083051
172,-1.276659849284517
173,0.07810205547738747
174,-0.5218979445225997
175,-0.39213603976070033
176,0.25786396023928404
177,1.2138163411916665
178,1.7090544364297635
179,1.3185782459535957
180,-0.2683265159511983
181,0.0983401507155115
182,0.8138163411916963
183,0.44119729357259985
184,1.026911579286928
185,-0.29094556357023293
186,-0.34927889690357006
187,-0.15523127785595747
188,0.40548300785833646
189,1.1042925316678804
190,1.0638163411916786
191,1.359054436429755
192,0.3114353888107395
193,0.9257211030964321
194,3.913816341191687
195,-1.0945169921416635
196,0.1531020554773832
197,-0.26594556357022014
198,0.43048300785834925
199,0.6269115792869187
200,0.2983401507154788
201,-0.28380270642736605
202,0.3864353888107246
203,0.6578639602392968
204,0.7161972935726126
205,0.7078639602392975
206,0.8411972935726268
207,0.6900068173821339
208,1.5804830078583336
209,0.36976872214406953
210,-1.1349931826178477
211,-0.4516598492844963
212,-0.6992788969035715
213,0.840006817382168
214,-1.0242788969035743
215,-0.23261223023691002
216,0.2828639602393075
217,0.21976872214404963
218,-1.5968979445226061
219,-3.621897944522626
220,-1.1766598492845013
221,-1.1611836588083406
222,0.08524491262026146
223,-2.0635646111892925
224,-0.8159455635702244
225,-1.7611836588083314
226,-0.4445169921416472
227,-0.5968979445225955
228,-2.200469373094048
229,-2.680231277855924
230,-2.590945563570237
231,-2.787374134998789
232,-2.0052312778559447
233,-1.050469373094053
234,-0.5468979445225948
235,-2.0373741349988137
236,-1.582612230236908
237,-0.9338027064273646
238,2.216197293572634
239,0.4400068173821694
240,-0.6230884207130849
241,0.11262586500119909
242,0.7138163411916807
243,0.4281020554773889
244,1.6507211030964442
245,0.44953062690596113
246,0.7435782459535858
247,-1.2088027064273525
248,0.3745306269059654
249,-0.17665984928450484
250,0.22572110309644344
251,0.4102449126202572
252,0.7126258650012041
253,2.8066734840488117
254,3.723340150715483
255,0.8566734840488373
256,1.698340150715488
257,2.9733401507154937
258,1.3400068173821502
259,1.6102449126202671
260,1.3816734840488323
261,-0.7230884207130721
262,1.1900068173821552
263,1.1161972935726432
264,0.7864353888107409
265,1.4197687221440667
266,1.8673877697631092
267,2.091197293572648
268,1.4316734840488223
269,1.8340544364297706
270,2.1792925316678833
271,3.106673484048823
272,0.6150068173821523
273,-2.659993182617832
274,0.7638163411916743
275,1.1888163411916928
276,0.7864353888107374
277,-1.0361836588083335
278,0.9638163411916896
279,1.755483007858345
280,0.6709591983345398
281,-1.9207074683321324
282,-0.37427889690354554
283,0.4554830078583372
284,1.2281020554773967
285,1.5173877697631166
286,0.4328639602392865
287,-0.3183265159511741
288,1.4007211030964477
289,0.5673877697631173
290,1.7554830078583379
291,3.3554830078583464
292,2.3804830078583628
293,1.9531020554774052
294,2.337625865001204
295,2.4935782459535965
296,3.9138163411916906
297,3.0650068173821623
298,1.6364353888107352
299,1.6352449126202497
300,3.5876258650011987
301,4.42453062690598
302,7.7435782459535805
303,6.395959198334557
304,5.455483007858367
305,1.0900068173821609
306,0.651911579286919
307,0.4495306269059629
308,0.2697687221440539
309,-0.5730884207130789
310,0.3650068173821541
311,4.236435388810733
312,2.6745306269059785
313,1.1626258650012087
314,0.5650068173821694
315,5.763816341191685
316,4.498340150715483
317,3.6673877697631205
318,0.4935782459536018
319,1.266197293572631
320,2.2316734840488337
321,1.8316734840488245
322,0.7435782459535876
323,2.1697687221440702
324,1.517387769763106
325,2.0245306269059693
326,-0.45880270642736853
327,-0.817136039760701
328,0.06262586500120904
329,-1.6421360397606897
330,-1.2754693730940225
331,1.313816341191691
332,-4.089755087379741
333,-4.132612230236882
334,-5.069516992141635
335,-3.8052312778559205
336,-3.357612230236894
337,-3.811183658808308
338,-0.8683265159511553
339,1.8304830078583638
340,1.9031020554774027
341,3.4661972935726233
342,3.4233401507161325
343,1.2138163411916754
344,1.900721103096295
345,-1.3849931826178619
346,1.524530626905893
347,5.5257211030964495
348,3.701911579286927
349,1.6733401507155214
350,0.35905443642979407
351,2.493578245953586
352,2.4542925316678907
353,1.4673877697631088
354,1.9804830078583446
355,5.044768722144093
356,7.316197293572623
357,6.7340544364297745
358,9.418578245953585
359,5.2066734840488795
360,4.612625865001206
361,3.8733401507155136
362,5.159054436429781
363,5.212625865001195
364,6.7161972935726055
365,3.48859233817063
366,2.80388645581289
367,4.203886455814754
368,0.4932982205222256
369,-3.347878250066536
370,-0.5878782500681883
371,-0.4855253088907503
372,0.7921217499307964
373,2.887415867579204
374,-0.3125841324215912
375,-0.4619958971261635
376,-0.15376060300806316
377,-2.879642955961012
378,-1.418466485361904
379,-0.9937606030085018
380,-0.7019958971261655
381,0.8215335146387197
382,1.1580041028758234
383,2.895651161697085
384,2.834474691108186
385,0.8332982205207955
386,-0.11846648536956295
387,-0.9196429559552506
388,-1.0949370735862
389,-3.0725841324144856
390,-2.339642955950856
391,0.2356511617039434
392,0.7332982205206946
393,-0.857290014783592
394,-0.1478782500696223
395,0.1685923381656913
396,-0.03140766184262489
397,-1.352584132423397
398,-0.4784664853627021
399,1.3780041028830574
400,2.388592338167152
401,4.15144956762307
402,-0.33783614666264405
403,0.2681162342897565
404,0.7490686152421091
405,4.781211472384978
406,5.702640043813538
407,3.9585924247659356
408,-0.7295028133293044
409,1.5800209961944969
410,-0.5425980514245463
411,-1.6104551942816894
412,0.11216385333734458
413,-3.148550432376931
414,-4.37593138475787
415,0.11692575809924932
416,-1.2723599561864507
417,-1.954502813329345
418,-0.7664075752340835
419,-8.443788527615038
420,-5.65569328951979
421,-0.9997409085673912
422,1.5359733771468882
423,1.451449567623074
424,3.08240194857545
425,3.588354329527844
426,-3.337836146662653
427,-3.9890266228531104
428,-3.7890266228531306
429,-4.224740908567403
430,-2.1390266228531303
431,0.4062114723849568
432,-2.749740908567409
433,0.5704971866707176
434,0.9466876628612084
435,4.049068615242124
436,4.426449567623077
437,1.4133543295278486
438,-1.556883765710264
439,1.041925758099266
440,0.36097337714687505
441,1.175259091432629
442,-0.014026622853146264
443,1.23716385333735
444,0.6014495676230656
445,1.8335924247659214
446,1.8014495676230773
447,1.583592424765932
448,2.443116234289729
449,2.971687662861161
450,1.3788305200040067
451,-3.114026622853123
452,-0.8330742419007304
453,1.1359733771468736
454,2.3752590914326035
455,1.3657352819087727
456,0.7371638533373535
457,-0.22593138475789232
458,-0.37831233713885304
459,-2.14497900380551
460,-3.146169479995983
461,-3.283074241900735
462,-4.280693289519784
463,-3.4616456704721905
464,-2.230693289519783
465,-0.6378361466626465
466,1.201449567623044
467,1.9835924247659236
468,1.0704971866706963
469,0.6824019485754746
470,0.4145448057183323
471,-1.008074241900724
472,-0.38069328951979386
473,0.08478290095640162
474,-2.569979003805482
475,-3.2842647180912046
476,-2.956883765710254
477,-2.159264718091233
478,-1.7568837657102474
479,-1.3949790038055205
480,-1.82474090856741
481,-1.2104551942816855
482,-0.20450281332930587
483,-0.8973599561864631
484,-0.005693289519804523
485,-0.6854551942816833
486,0.5014495676230624
487,-1.072359956186446
488,-0.25926471809120244
489,-0.8342647180912266
490,0.6728781390516545
491,-0.9902170990435941
492,-0.28902662285312886
493,2.4252590914326255
494,-0.4485504323769227
495,-0.7152170990435991
496,-1.2152170990435813
497,-0.006883765710270495
498,0.7704971866706991
499,-1.7318837657102648
